"Indikator","Ausprägung","Jahr","Räumliche Gliederung","Indikatorwert","Basiswert 1","Basiswert 2","Basiswert 3","Basiswert 4","Basiswert 5","Name Basiswert 1","Name Basiswert 2","Name Basiswert 3","Name Basiswert 4","Name Basiswert 5"
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2012","10 Moosach","14","743","5309","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2012","11 Milbertshofen - Am Hart","13.2","1285","9728","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2012","12 Schwabing - Freimann","9.6","579","6062","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2012","13 Bogenhausen","12.8","832","6515","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2012","14 Berg am Laim","13.9","638","4598","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2012","15 Trudering - Riem","17.3","670","3863","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2012","16 Ramersdorf - Perlach","16.1","1791","11162","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2012","17 Obergiesing - Fasangarten","11.1","650","5863","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2012","18 Untergiesing - Harlaching","9.6","468","4891","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2012","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","12.5","892","7118","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
